Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Linseed,1999,Rabi,27450,10590,1484.3,2913268.5,7411.5,0.516470588,4,24.88
Maize,1999,Kharif,165330,206370,1484.3,17546472.9,44639.1,1.160333333,4,24.88
Maize,1999,Rabi,8270,10280,1484.3,877695.1,2232.9,1.395357143,4,24.88
Masoor,1999,Rabi,15610,7360,1484.3,1656689.3,4214.7,0.401666667,4,24.88
Mesta,1999,Kharif,30370,129640,1484.3,3223168.1,8199.9,3.855555556,4,24.88
Moong(Green Gram),1999,Kharif,149000,51470,1484.3,15813370,40230,0.355384615,4,24.88
Moong(Green Gram),1999,Rabi,441000,175720,1484.3,46803330,119070,0.371333333,4,24.88
Niger seed,1999,Kharif,118030,38670,1484.3,12526523.9,31868.1,0.376428571,4,24.88
Niger seed,1999,Rabi,19010,7020,1484.3,2017531.3,5132.7,0.397142857,4,24.88
Onion,1999,Whole Year,46400,368350,1484.3,4924432,12528,7.043,4,24.88
Potato,1999,Whole Year,8740,91050,1484.3,927576.2,2359.8,9.781851852,4,24.88
Ragi,1999,Kharif,202170,146790,1484.3,21456302.1,54585.9,0.615357143,4,24.88
Ragi,1999,Rabi,6790,6860,1484.3,720622.7,1833.3,0.783636364,4,24.88
Rapeseed &Mustard,1999,Rabi,125200,41040,1484.3,13287476,33804,0.338333333,4,24.88
Rice,1999,Autumn,797000,743000,1484.3,84585610,215190,0.971333333,4,24.88
Rice,1999,Summer,381810,912040,1484.3,40521495.3,103088.7,2.073333333,4,24.88
Rice,1999,Winter,3423000,3532000,1484.3,363282990,924210,1.142666667,4,24.88
Safflower,1999,Rabi,2400,1150,1484.3,254712,648,0.374,4,24.88
Sannhamp,1999,Whole Year,11450,37050,1484.3,1215188.5,3091.5,3.852,4,24.88
Sesamum,1999,Kharif,203000,64050,1484.3,21544390,54810,0.362857143,4,24.88
Sesamum,1999,Rabi,73980,26690,1484.3,7851497.4,19974.6,0.372857143,4,24.88
Small millets,1999,Kharif,41960,18850,1484.3,4453214.8,11329.2,0.417894737,4,24.88
Soyabean,1999,Kharif,60,10,1484.3,6367.8,16.2,0.17,4,24.88
Sugarcane,1999,Winter,30970,1826930,1484.3,3286846.1,8361.9,60.69166667,4,24.88
Sunflower,1999,Kharif,570,330,1484.3,60494.1,153.9,0.476666667,4,24.88
Sunflower,1999,Rabi,8780,7120,1484.3,931821.4,2370.6,0.71962963,4,24.88
